VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,AvgSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
480,BACARDI USA INC,3344,Bombay Sapphire Gin,14.49,19.99,750,23798,344833.0200000061,24620.0,516761.79999994446,20.98951259138686,19388.250000002343,89286.26999999999,171928.7799999384,33.2704120157405,1.0345407177073704,1.4985856052878443
8004,SAZERAC CO INC,5191,Fireball Cinnamon Whiskey,7.93,9.99,375,43352,343781.36000000814,43057.0,430139.42999994283,9.989999999998671,16928.970000000652,50293.62000000002,86358.0699999347,20.0767620861789,0.9931952389739804,1.2512005595647555
3960,DIAGEO NORTH AMERICA INC,3878,Smirnoff 80 Proof,7.96,10.99,750,43015,342399.3999999967,43690.0,499703.09999993123,11.43747081711905,34397.94000000452,257032.07000000007,157303.69999993453,31.479432487002,1.015692200395211,1.459415816733137
3960,DIAGEO NORTH AMERICA INC,3352,Ciroc Coconut Vodka,18.79,24.99,750,18095,340005.05000000034,18976.0,474449.2399999857,25.00259485666029,14945.690000000797,257032.07000000007,134444.18999998533,28.3368964823275,1.0486874827300359,1.3954182151117613
12546,JIM BEAM BRANDS COMPANY,3253,Gilbeys London Dry,9.08,12.49,1750,37423,339800.8400000012,37497.0,463220.0299999475,12.353522415125145,68894.59999998749,123880.96999999999,123419.18999994633,26.643750703086,1.0019773935814873,1.3632103734644856
3664,WILLIAM GRANT & SONS INC,1921,Glenfiddich Special Rsv 12,52.71,67.99,1750,6436,339241.56000000105,5463.0,379168.36999998766,69.4066209042628,10040.870000000312,30234.42000000001,39926.80999998661,10.5301003878535,0.8488191423244251,1.1176943355642701
3960,DIAGEO NORTH AMERICA INC,4264,Capt Morgan Spiced Rum Trav,11.53,16.99,750,29352,338428.55999998923,28860.0,447487.39999993984,15.505453915451831,22722.450000003242,257032.07000000007,109058.83999995061,24.3713767136159,0.9832379394930498,1.322250698936148
3960,DIAGEO NORTH AMERICA INC,2752,Johnnie Walker Black Label,26.31,38.99,750,12778,336189.1799999959,13083.0,490792.16999995965,37.51373308873803,10306.040000000334,257032.07000000007,154602.98999996373,31.5007042593969,1.0238691501017374,1.4598690237442074
12546,JIM BEAM BRANDS COMPANY,3997,Hornitos Plata Tequila,14.05,19.99,750,23835,334881.7499999959,23007.0,474637.92999994336,20.63015299691152,18117.010000002578,123880.96999999999,139756.17999994743,29.4447980590098,0.9652611705475141,1.4173299381048658
3664,WILLIAM GRANT & SONS INC,3234,Hendrick's Gin,45.92,62.99,1750,7290,334756.8000000001,7465.0,467921.3499999754,62.68202947086074,13719.89000000053,30234.42000000001,133164.5499999753,28.4587463256341,1.0240054869684498,1.3977949066306503
8004,SAZERAC CO INC,1767,Buffalo Trace Bourbon,19.37,24.99,750,17274,334597.38000000303,16336.0,412468.6399999681,25.249059745345747,12865.980000000789,50293.62000000002,77871.25999996508,18.8793164978484,0.9456987379877272,1.2327312305911193
3664,WILLIAM GRANT & SONS INC,5337,Drambuie,20.6,27.99,750,16167,333040.2000000021,14262.0,394423.37999996747,27.655544804372983,11234.040000000532,30234.42000000001,61383.17999996536,15.5627640531782,0.8821673779922063,1.1843116236417255
7239,REMY COINTREAU USA INC,4437,Mount Gay Eclipse,23.48,30.99,1750,14171,332735.08000000386,13562.0,461672.37999996473,34.0416148060732,24922.54999999952,16978.669999999995,128937.29999996087,27.9283114142481,0.957024910027521,1.3875073827501427
1392,CONSTELLATION BRANDS INC,11213,Meiomi Pnt Nr,12.66,19.99,750,26190,331565.4000000009,25652.0,503067.47999997175,19.61123811008778,2871.659999999925,79528.99,171502.07999997085,34.0912674379152,0.9794578083237877,1.5172496285799737
8004,SAZERAC CO INC,5299,Southern Comfort,15.26,21.99,1750,21713,331340.37999999657,19895.0,412339.04999997764,20.725762754459797,36554.339999997625,50293.62000000002,80998.66999998107,19.6437058289739,0.9162713581725234,1.244457587692698
7239,REMY COINTREAU USA INC,782,Remy Martin 1738 Accord Ryl,35.15,54.99,750,9415,330937.250000001,9148.0,444072.5199999858,48.54312636641734,7204.399999999838,16978.669999999995,113135.26999998483,25.4767554632717,0.9716409984067976,1.3418632082063426
3960,DIAGEO NORTH AMERICA INC,2889,Buchanans Deluxe 12Yr Scotch,23.07,31.99,750,14260,328978.1999999996,13468.0,432258.3199999926,32.09521235521181,10606.020000000086,257032.07000000007,103280.11999999301,23.8931479676307,0.9444600280504909,1.3139421396311157
3960,DIAGEO NORTH AMERICA INC,3549,Ketel One Vodka,17.82,26.99,750,18322,326498.04,16532.0,407030.67999996396,24.62077667553617,13020.040000001007,257032.07000000007,80532.63999996398,19.7853979950531,0.902303242004148,1.246655814534029
17035,PERNOD RICARD USA,857,Kahlua,16.17,21.99,1000,20165,326068.0499999993,19674.0,462932.259999968,23.530154518652434,20657.699999999015,123780.21999999997,136864.2099999687,29.5646300389561,0.9756508802380363,1.419741247264088
3960,DIAGEO NORTH AMERICA INC,8506,Myers Original Dark Rum,21.42,29.99,1750,15187,325305.53999999695,14633.0,449036.6699999682,30.68657623180265,26889.57999999945,257032.07000000007,123731.12999997125,27.5547941329558,0.9635214328043722,1.3803535900432942
4425,MARTIGNETTI COMPANIES,14672,Duckhorn Decoy Cab Svgn,11.61,21.99,750,27814,322920.540000002,27729.0,508256.95000000583,18.329436690829308,3105.3199999999274,144929.24,185336.41000000382,36.4651009691066,0.9969439850435032,1.573938127317645
4425,MARTIGNETTI COMPANIES,6579,J Lohr Riverstone Chard,5.8,8.99,750,54960,318768.0000000009,56157.0,605967.3799999582,10.79059387075446,6301.709999999895,144929.24,287199.37999995734,47.3951881700261,1.0217794759825327,1.9009667846206537
3252,E & J GALLO WINERY,2164,New Amsterdam Gin,12.14,16.99,1750,26071,316501.9400000042,24495.0,431674.0499999482,17.62294549907933,45007.58999999131,61966.909999999996,115172.10999994399,26.6803413362369,0.939549691227801,1.3638906921074243
2000,SOUTHERN WINE & SPIRITS NE,27854,F Coppola Black Label Claret,10.2,14.99,750,30869,314863.8000000015,30768.0,443192.1199999815,14.40432007280231,3445.71999999992,19016.59,128328.31999997998,28.9554606701909,0.9967281091062231,1.4075677165808815
8112,MOET HENNESSY USA INC,3682,Belvedere Vodka,16.66,22.99,750,18848,314007.68,17869.0,413944.30999996717,23.165499468351175,14073.020000001176,48347.26,99936.62999996718,24.1425301872068,0.9480581494057725,1.318261738056748
9552,M S WALKER INC,7878,Allens Coffee Brandy,9.99,15.99,1750,31200,311688.00000000524,31160.0,471064.39999996545,15.117599486520072,57256.319999992804,55551.819999999985,159376.3999999602,33.8332508251466,0.9987179487179487,1.5113331279996585
2561,EDRINGTON AMERICAS,1634,The Famous Grouse,20.73,29.99,1750,15031,311592.63000000373,14614.0,444949.8599999661,30.446822225261126,26854.41999999919,9654.500000000002,133357.22999996238,29.9712938442036,0.9722573348413279,1.4279858288046183
12546,JIM BEAM BRANDS COMPANY,3444,Hornitos Plata Tequila,29.13,39.99,1750,10636,309826.6800000047,10362.0,375689.3799999712,36.25645435243884,19042.860000000248,123880.96999999999,65862.69999996648,17.5311583201983,0.9742384355020685,1.2125791749114876
17035,PERNOD RICARD USA,2426,The Glenlivet 15Yr FrenchOak,41.59,51.99,750,7445,309637.55,7445.0,413475.5499999765,55.5373472128914,5866.499999999839,123780.21999999997,103837.99999997648,25.1134559226011,1.0,1.3353533833347295
